,FeatureSet,Model,Accuracy_mean,Accuracy_std,BalancedAccuracy_mean,BalancedAccuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std
0,Combined_Naive,LogReg,0.731111111111111,0.03800584750330465,0.7283826279109298,0.04017028874492286,0.6561354043207951,0.04322196391770171,0.7154654654654655,0.07274925853078464,0.6832050198797187,0.047165694961190927,0.8078874471956233,0.04752433824229874,0.738225184979167,0.06893321261757238
1,Combined_Naive,RF,0.7622222222222221,0.07140564005804279,0.73941110922243,0.07021333091344768,0.7601145091467671,0.12945847444979722,0.6171171171171171,0.06041561423042257,0.6804286261002679,0.08843236577495972,0.8382487309112048,0.060465405923362164,0.7967953994654478,0.08255005539891014
2,Combined_Naive,XGB,0.731111111111111,0.06402160129283528,0.7130956428126239,0.06735192333607375,0.6928621101296624,0.10406512868301655,0.616966966966967,0.09822563005919917,0.6500702783077095,0.08516474397754215,0.8002350358744488,0.060729534294834485,0.7327720785406335,0.06786907086907683
3,Combined_Scaled,LogReg,0.7288888888888889,0.020184335693983285,0.7241179859104389,0.024713425339796084,0.6558415208354009,0.01663518412034977,0.6992492492492492,0.05196909054387561,0.6764840897133615,0.03203252356565495,0.807562751430676,0.03795378421012841,0.7428210384182571,0.061175301744267475
4,Combined_Scaled,RF,0.7622222222222221,0.07140564005804279,0.73941110922243,0.07021333091344768,0.7601145091467671,0.12945847444979722,0.6171171171171171,0.06041561423042257,0.6804286261002679,0.08843236577495972,0.8385054866186941,0.060537177325307695,0.7972892538648033,0.0829508411627858
5,Combined_Scaled,XGB,0.731111111111111,0.06402160129283528,0.7130956428126239,0.06735192333607375,0.6928621101296624,0.10406512868301655,0.616966966966967,0.09822563005919917,0.6500702783077095,0.08516474397754215,0.8002350358744488,0.060729534294834485,0.7327720785406335,0.06786907086907683
6,Descriptors,LogReg,0.6888888888888889,0.06285393610547085,0.6903006780365271,0.06162367519441569,0.6041350266449529,0.06781829102581804,0.6993993993993994,0.08570667373204086,0.6465053901001261,0.06637746965091267,0.7633632584366337,0.08051787706689631,0.6760437416246964,0.11852535506511733
7,Descriptors,RF,0.6933333333333334,0.07681949341086046,0.6672951253139933,0.08584221775436514,0.6434134765017118,0.10019082336186987,0.5292792792792793,0.13251760929260867,0.5797939018353899,0.11993006665512553,0.778944064609683,0.07788225445588176,0.7118877259858027,0.07191449953426571
8,Descriptors,XGB,0.6977777777777778,0.07302967433402213,0.6736717849925398,0.07884467448495837,0.650679888813763,0.0980128698908979,0.5459459459459459,0.11499408813923279,0.5926425374312698,0.10579279455905198,0.7544084965468614,0.06680977372527543,0.7038937723551587,0.07810126200199416
9,ECFP,LogReg,0.72,0.0327730693416725,0.7149739362003513,0.03305115333448226,0.6467285296553589,0.038567609333324065,0.6884384384384384,0.04160405706455678,0.6666419844502036,0.03682478058787199,0.7988033106481744,0.04048241429235171,0.7197735620969093,0.0768004694675514
10,ECFP,RF,0.7488888888888889,0.03735052514215914,0.718049653427012,0.035157126161605275,0.7716662647697131,0.0863750402713763,0.5521021021021021,0.03798383340882355,0.6419106414513741,0.043594539119478054,0.8310623778915185,0.052737909162031284,0.7738973753643579,0.07925069763834985
11,ECFP,XGB,0.74,0.07395360574352774,0.7206480064970631,0.07332210735845898,0.7114643976712942,0.11579605379852279,0.6171171171171171,0.07149102616887336,0.66017154592307,0.08912645310469017,0.8071717419725806,0.04166148162347587,0.7274438137917163,0.026618947219921217
