Feature	MeanAbsSHAP_XGB
SMILES	0.34139103
ECFP_0	0.0053614615
ECFP_1	0.14580497
ECFP_2	0.0020961924
ECFP_3	0.0016359758
ECFP_4	0.010387828
ECFP_5	0.009091002
ECFP_6	0.0
ECFP_7	0.022571359
ECFP_8	0.0008131036
ECFP_9	0.0026006396
ECFP_10	0.01185378
ECFP_11	0.013365699
ECFP_12	0.016732868
ECFP_13	0.0073651783
ECFP_14	0.02073526
ECFP_15	0.008864267
ECFP_16	0.0
ECFP_17	0.0
ECFP_18	0.0003731734
ECFP_19	0.00048527372
ECFP_20	0.0
ECFP_21	0.0016527247
ECFP_22	0.0
ECFP_23	0.0031070262
ECFP_24	0.0012039002
ECFP_25	0.0
ECFP_26	0.0009275753
ECFP_27	0.00042931992
ECFP_28	0.0
ECFP_29	0.0
ECFP_30	0.0
ECFP_31	0.0007968301
ECFP_32	0.009127821
ECFP_33	0.013052789
ECFP_34	0.015333531
ECFP_35	0.0
ECFP_36	0.012435947
ECFP_37	0.004822955
ECFP_38	0.00036719028
ECFP_39	0.0
ECFP_40	0.0
ECFP_41	0.063728675
ECFP_42	0.0012570424
ECFP_43	0.0009642816
ECFP_44	0.0
ECFP_45	0.0005988515
ECFP_46	0.006811431
ECFP_47	0.009875221
ECFP_48	0.00041093942
ECFP_49	0.00909719
ECFP_50	0.0
ECFP_51	0.00042921994
ECFP_52	0.001965243
ECFP_53	0.001966927
ECFP_54	0.0
ECFP_55	0.0003493706
ECFP_56	0.0
ECFP_57	0.0003892367
ECFP_58	0.00035579974
ECFP_59	0.0
ECFP_60	0.0
ECFP_61	0.0012689068
ECFP_62	0.000402644
ECFP_63	0.00027900125
ECFP_64	0.069121435
ECFP_65	0.0
ECFP_66	0.0
ECFP_67	0.003197257
ECFP_68	0.0
ECFP_69	0.0
ECFP_70	0.0
ECFP_71	0.00756109
ECFP_72	0.00049853406
ECFP_73	0.00065176224
ECFP_74	0.0007681478
ECFP_75	0.00094118266
ECFP_76	0.0
ECFP_77	0.01154602
ECFP_78	0.0074078725
ECFP_79	0.017579628
ECFP_80	0.23186621
ECFP_81	0.00014987287
ECFP_82	0.0022418979
ECFP_83	0.0
ECFP_84	0.0102357045
ECFP_85	0.0
ECFP_86	0.00074317766
ECFP_87	0.0
ECFP_88	0.0
ECFP_89	0.0
ECFP_90	0.05538864
ECFP_91	0.0026912442
ECFP_92	0.0024358474
ECFP_93	0.00069473963
ECFP_94	0.00065279275
ECFP_95	0.0
ECFP_96	0.004166803
ECFP_97	0.007719758
ECFP_98	0.0
ECFP_99	0.0
ECFP_100	0.008238934
ECFP_101	0.0
ECFP_102	0.003713898
ECFP_103	0.0
ECFP_104	0.0011968791
ECFP_105	0.012790509
ECFP_106	0.0050898576
ECFP_107	0.0
ECFP_108	0.00027868562
ECFP_109	0.006870508
ECFP_110	0.010892185
ECFP_111	0.0
ECFP_112	0.0020415273
ECFP_113	0.00038370176
ECFP_114	0.008388223
ECFP_115	0.0066603622
ECFP_116	0.0029727812
ECFP_117	0.0047574835
ECFP_118	0.00536829
ECFP_119	0.08595365
ECFP_120	0.0
ECFP_121	0.02847465
ECFP_122	0.0
ECFP_123	0.00039875074
ECFP_124	0.00079637754
ECFP_125	0.0
ECFP_126	0.0
ECFP_127	0.0
ECFP_128	0.08017962
ECFP_129	0.0
ECFP_130	0.0054823523
ECFP_131	0.0064438246
ECFP_132	0.0
ECFP_133	0.0005634815
ECFP_134	0.0012887692
ECFP_135	0.0010380287
ECFP_136	0.027508825
ECFP_137	0.0
ECFP_138	0.020507608
ECFP_139	0.031494677
ECFP_140	0.049640268
ECFP_141	0.0019460211
ECFP_142	0.0
ECFP_143	0.00046380708
ECFP_144	0.0026052087
ECFP_145	0.00070144836
ECFP_146	0.0
ECFP_147	0.03288638
ECFP_148	0.0
ECFP_149	0.0
ECFP_150	0.0008689573
ECFP_151	0.008509111
ECFP_152	0.0061894134
ECFP_153	0.0
ECFP_154	0.02184501
ECFP_155	0.0
ECFP_156	0.0
ECFP_157	0.0
