Feature	MeanAbsSHAP	model
ECFP_80	0.24313244	XGB
ECFP_356	0.22116604	XGB
ECFP_926	0.20841229	XGB
ECFP_80	0.1557530898865979	LogReg
ECFP_726	0.15550031	XGB
ECFP_486	0.1515799	XGB
ECFP_893	0.1442678	XGB
ECFP_1	0.12765446	XGB
ECFP_926	0.1269225873010815	LogReg
ECFP_726	0.1217984481129285	LogReg
ECFP_284	0.11833648	XGB
ECFP_650	0.1123306	XGB
ECFP_1	0.1046797960613532	LogReg
ECFP_237	0.102089	XGB
ECFP_893	0.0998452968113716	LogReg
ECFP_378	0.09705569	XGB
ECFP_656	0.09232141	XGB
ECFP_314	0.0884606864783232	LogReg
ECFP_367	0.08785285	XGB
ECFP_119	0.085739344	XGB
ECFP_540	0.0834627	XGB
ECFP_656	0.081876418687039	LogReg
ECFP_578	0.081842184	XGB
ECFP_356	0.0805670563746454	LogReg
ECFP_486	0.0804132339851737	LogReg
ECFP_875	0.079157084	XGB
ECFP_491	0.078670576	XGB
ECFP_378	0.0754448905084799	LogReg
ECFP_128	0.074000195	XGB
ECFP_849	0.0727824735075404	LogReg
ECFP_875	0.0722997886434209	LogReg
ECFP_381	0.07018517	XGB
ECFP_849	0.0695357	XGB
ECFP_392	0.067985706	XGB
ECFP_33	0.0675493545824779	LogReg
ECFP_227	0.06706813	XGB
ECFP_549	0.06647778	XGB
ECFP_41	0.066308305	XGB
ECFP_207	0.06577994	XGB
ECFP_923	0.06563737	XGB
ECFP_64	0.0642841	XGB
ECFP_794	0.064218655	XGB
ECFP_650	0.0626880644987026	LogReg
ECFP_341	0.06202682	XGB
ECFP_667	0.05987666	XGB
ECFP_314	0.058986258	XGB
ECFP_470	0.0579705	XGB
ECFP_456	0.0560277396228983	LogReg
ECFP_325	0.055389173	XGB
ECFP_294	0.0545440813060277	LogReg
ECFP_578	0.0534120259626408	LogReg
ECFP_935	0.0521203	XGB
ECFP_526	0.05202826	XGB
ECFP_935	0.0514943657079565	LogReg
ECFP_993	0.051366568	XGB
ECFP_981	0.051290236	XGB
ECFP_128	0.0496591845604532	LogReg
ECFP_807	0.0493707811026411	LogReg
ECFP_90	0.049294543	XGB
ECFP_64	0.0489988516117923	LogReg
ECFP_341	0.0478172876783575	LogReg
ECFP_147	0.0477329973357402	LogReg
ECFP_222	0.0468091552938053	LogReg
ECFP_464	0.046628337	XGB
ECFP_881	0.0461072991762629	LogReg
ECFP_1019	0.045752607	XGB
ECFP_922	0.04443606	XGB
ECFP_981	0.0438985565311157	LogReg
ECFP_294	0.04376831	XGB
ECFP_659	0.043514375	XGB
ECFP_923	0.0432247524109068	LogReg
ECFP_718	0.043201163	XGB
ECFP_140	0.043103073	XGB
ECFP_227	0.0430580403213426	LogReg
ECFP_881	0.04292507	XGB
ECFP_428	0.0426530266797128	LogReg
ECFP_540	0.0424550608449149	LogReg
ECFP_284	0.042111127980031	LogReg
ECFP_659	0.0412099171214455	LogReg
ECFP_667	0.0410265406172261	LogReg
ECFP_561	0.04052032	XGB
ECFP_392	0.0395461371181561	LogReg
ECFP_456	0.038776096	XGB
ECFP_119	0.0386147794299433	LogReg
ECFP_222	0.038215302	XGB
ECFP_610	0.03792707	XGB
ECFP_367	0.0379181961388169	LogReg
ECFP_393	0.037841707	XGB
ECFP_147	0.037373036	XGB
ECFP_1019	0.0371775650285408	LogReg
ECFP_237	0.0371263197733257	LogReg
ECFP_794	0.0366419264921846	LogReg
ECFP_807	0.036045402	XGB
ECFP_407	0.035707798	XGB
ECFP_41	0.0355892817036876	LogReg
ECFP_730	0.0350021129625315	LogReg
ECFP_718	0.0344484971933625	LogReg
ECFP_325	0.0339561977537937	LogReg
ECFP_362	0.033336584	XGB
ECFP_140	0.0333109554128055	LogReg
ECFP_715	0.03300504	XGB
ECFP_695	0.03242485	XGB
ECFP_295	0.032223184	XGB
ECFP_549	0.032075363391386	LogReg
ECFP_896	0.032037087	XGB
ECFP_927	0.0317606448528021	LogReg
ECFP_927	0.03168934	XGB
